gem_key,land,ew_BSW,ew_AfD,ew_FDP,ew_Die Linke,ew_SPD,ew_CDU,ew_GRÜNE,ew_CSU,ew_FREIE WÄHLER,ew_valid,btw_BSW,btw_AfD,btw_FDP,btw_Die Linke,btw_SPD,btw_CDU,btw_GRÜNE,btw_CSU,btw_FREIE WÄHLER,btw_valid,swing_BSW,swing_AfD,swing_FDP,swing_Die Linke,swing_SPD,swing_CDU,swing_GRÜNE,swing_CSU,swing_FREIE WÄHLER,swing_z
09_90_152,09,3.8819026790595954,7.982504100601422,7.599781301257518,1.530891197375615,8.583925642427555,0.0,12.903225806451612,41.388737014762164,6.12356478950246,1829.0,3.009259259259259,10.833333333333334,8.796296296296296,5.231481481481481,10.37037037037037,0.0,13.88888888888889,42.03703703703704,2.7314814814814814,2160,-0.8726434198003363,2.850829232731912,1.1965149950387781,3.700590284105866,1.7864447279428148,0.0,0.9856630824372772,0.6483000222748743,-3.3920833080209785,0.3544040087862747
09_90_153,09,4.674220963172805,10.48158640226629,3.39943342776204,0.708215297450425,8.498583569405099,0.0,6.9405099150141645,40.084985835694056,16.997167138810198,706.0,3.172737955346651,17.508813160987074,5.64042303172738,3.4077555816686247,10.223266745005875,0.0,7.403055229142186,41.48061104582844,8.343125734430082,851,-1.5014830078261538,7.027226758720785,2.24098960396534,2.6995402842182,1.7246831756007754,0.0,0.4625453141280218,1.3956252101343836,-8.654041404380116,0.12227564528249044
09_90_154,09,3.7323037323037322,13.835263835263836,2.767052767052767,0.5791505791505791,4.440154440154441,0.0,7.078507078507079,42.53539253539253,15.958815958815958,1554.0,2.717948717948718,21.641025641025642,3.948717948717949,4.3076923076923075,5.897435897435897,0.0,8.615384615384615,43.230769230769226,7.282051282051281,1950,-1.0143550143550142,7.805761805761806,1.1816651816651818,3.728541728541728,1.4572814572814563,0.0,1.5368775368775358,0.6953766953766944,-8.676764676764677,0.3020929247516948
09_90_157,09,4.8084340447415785,9.694008742607355,4.20845118710894,1.1399674295020141,8.751178537756065,0.0,15.822405074140738,35.94754435587554,5.4255592697351505,11667.0,3.166690071619155,14.639797781210504,4.760567336048307,5.876983569723353,11.943547254599073,0.0,16.303889903103496,36.694284510602444,3.0824322426625472,14242,-1.6417439731224235,4.945789038603149,0.5521161489393673,4.737016140221339,3.192368716843008,0.0,0.481484828962758,0.7467401547269006,-2.3431270270726032,0.07050004311358336
09_90_158,09,4.208885424785659,14.65315666406859,3.0397505845674204,1.3250194855806703,5.144193296960249,0.0,8.807482462977397,38.34762275915822,11.925175370226032,1283.0,3.4682080924855487,21.45150931278099,3.917790622992935,4.046242774566474,6.8079640333975595,0.0,10.276172125883107,39.30635838150289,6.422607578676944,1557,-0.7406773323001099,6.798352648712399,0.8780400384255147,2.7212232889858043,1.6637707364373107,0.0,1.4686896629057102,0.958735622344669,-5.5025677915490885,0.40311765931453486
09_90_159,09,3.8038038038038042,11.961961961961961,4.054054054054054,0.6506506506506506,8.008008008008009,0.0,9.40940940940941,36.58658658658659,15.465465465465467,1998.0,2.6957637997432604,18.185708172871202,5.177578091570389,3.6799315361574667,9.328198545143346,0.0,11.339323919554985,41.206675224646986,5.348737697903295,2337,-1.1080400040605438,6.2237462109092405,1.1235240375163347,3.0292808855068163,1.3201905371353373,0.0,1.9299145101455757,4.620088638060395,-10.116727767562171,0.2675102684442477
09_90_160,09,5.6675062972292185,10.831234256926953,2.392947103274559,0.2518891687657431,2.0151133501259446,0.0,5.289672544080604,40.931989924433246,22.040302267002517,794.0,4.079497907949791,19.769874476987447,4.184100418410042,2.1966527196652716,4.707112970711297,0.0,5.7531380753138075,46.65271966527197,8.891213389121338,956,-1.5880083892794277,8.938640220060494,1.7911533151354826,1.9447635508995287,2.691999620585352,0.0,0.46346553123320344,5.7207297408387205,-13.149088877881178,0.09033586989184736
10_41_100,10,8.108866817276459,13.373080059352734,5.47676019623832,3.1347333805659896,19.98075046452872,21.169141925220902,12.179341505474087,0.0,0.9290574411485557,74807.0,6.179266877468673,18.44943413501975,4.5844112981357865,11.298135786302128,21.739223013616957,21.065295388972288,12.265908631171015,0.0,0.8485313062271763,93927,-1.9295999398077859,5.076354075667016,-0.8923488981025338,8.163402405736138,1.7584725490882356,-0.10384653624861429,0.08656712569692893,0.0,-0.08052613492137939,-0.035758430023018345
10_41_511,10,8.430962343096235,22.092050209205023,3.472803347280335,2.301255230125523,20.523012552301257,25.460251046025107,4.288702928870293,0.0,1.6527196652719665,4780.0,6.67193675889328,29.312252964426875,3.4782608695652173,6.181818181818182,21.34387351778656,23.35177865612648,4.395256916996047,0.0,1.5019762845849802,6325,-1.7590255842029547,7.220202755221852,0.005457522284882277,3.8805629516926587,0.8208609654853021,-2.108472389898626,0.10655398812575356,0.0,-0.15074338068698623,0.027206985603194418
10_41_512,10,7.297478241463959,18.054005802276276,3.2805177415755415,1.740682883284981,23.052889979915197,33.05065833519304,2.8788216915866993,0.0,0.8926578888640929,4481.0,6.926829268292684,25.931707317073172,3.35609756097561,6.126829268292683,24.273170731707317,24.93658536585366,3.8829268292682926,0.0,1.4243902439024392,5125,-0.3706489731712752,7.877701514796897,0.07557981940006853,4.386146385007702,1.2202807517921208,-8.114072969339382,1.0041051376815933,0.0,0.5317323550383463,0.5397090557376247
