gem_key,z25_valid,z25_BSW,z25_Die Linke,z25_AfD,z25_SPD,z25_CDU,z25_FDP,z25_GRÜNE,z21_valid,z21_Die Linke,z21_AfD,z21_SPD,z21_CDU,z21_FDP,z21_GRÜNE,z17_valid,z17_Die Linke,z17_AfD,z17_SPD,z17_CDU,z17_FDP,z17_GRÜNE,z13_valid,z13_Die Linke,z13_AfD,z13_SPD,z13_CDU,z13_FDP,z13_GRÜNE,land,deficit
09_71_160,3473,2.0443420673769075,2.9369421249640077,24.733659660236107,7.601497264612727,0.0,3.3688453786351857,6.420961704578175,3274.0,1.3439218081857056,13.40867440439829,13.714111178985949,0.0,8.70494807574832,9.01038485033598,3164,3.697850821744627,16.371681415929203,11.314791403286979,0.0,9.70290771175727,5.847029077117573,2760,2.210144927536232,5.760869565217392,13.442028985507246,0.0,4.710144927536232,5.398550724637681,09,-115.1806061949908
09_71_162,2134,2.0618556701030926,3.373945641986879,22.58669165885661,7.450796626054358,0.0,3.748828491096532,7.591377694470477,2037.0,1.3745704467353952,10.603829160530191,14.580265095729015,0.0,10.112911143838978,8.64015709376534,1915,3.028720626631854,15.613577023498696,10.49608355091384,0.0,8.198433420365534,7.2584856396866835,1686,2.965599051008304,3.558718861209965,13.226571767497033,0.0,4.033214709371293,5.575326215895611,09,-59.06775180737281
09_71_163,917,1.3086150490730644,1.8538713195201746,23.555070883315157,10.141766630316248,0.0,3.0534351145038165,12.649945474372956,895.0,1.452513966480447,10.279329608938548,13.631284916201118,0.0,9.944134078212292,12.737430167597767,844,3.7914691943127963,15.04739336492891,11.137440758293838,0.0,7.938388625592417,10.66350710900474,700,2.0,7.142857142857142,15.142857142857144,0.0,4.0,7.857142857142857,09,-42.33849005128543
09_71_165,10321,3.594612925104156,4.922003681813777,22.245906404418175,11.927138843135356,0.0,3.052029842069567,10.31876756128282,9948.0,2.7040611178126257,11.107760353839968,18.636911942098912,0.0,8.675110574989947,11.871733011660636,9377,6.121360776367708,14.364935480430841,17.425615868614695,0.0,7.145142369627814,8.766129892289646,8340,4.448441247002398,3.4892086330935252,22.48201438848921,0.0,4.532374100719425,9.004796163069544,09,-204.01197346795342
09_71_166,5480,3.1204379562043796,3.9416058394160585,21.204379562043798,9.781021897810218,0.0,3.2481751824817517,9.507299270072993,5169.0,1.8959179725285356,9.537628167924163,17.121300058038305,0.0,7.738440704198105,12.033275295028051,4856,5.518945634266887,10.749588138385501,15.15650741350906,0.0,7.042833607907744,8.525535420098846,4232,3.237240075614366,2.717391304347826,19.5179584120983,0.0,3.1899810964083173,8.388468809073723,09,-144.24990371834588
09_71_168,697,1.5781922525107603,4.447632711621234,19.94261119081779,8.608321377331421,0.0,2.008608321377331,7.4605451936872305,654.0,1.834862385321101,9.63302752293578,15.59633027522936,0.0,8.56269113149847,10.091743119266056,627,4.4657097288676235,16.74641148325359,11.164274322169058,0.0,10.526315789473683,8.293460925039872,531,3.0131826741996233,5.084745762711865,14.87758945386064,0.0,3.0131826741996233,8.286252354048965,09,-23.879259001199657
09_71_169,3239,3.2417412781722756,3.7665946279715965,22.01296696511269,8.088916332201297,0.0,4.476690336523618,8.212411238036431,3016.0,1.6909814323607428,11.571618037135279,14.588859416445624,0.0,10.676392572944298,10.046419098143236,2875,5.460869565217391,15.408695652173913,14.53913043478261,0.0,10.330434782608695,7.478260869565218,2528,3.6392405063291138,4.667721518987341,16.969936708860757,0.0,4.786392405063291,7.0015822784810124,09,-83.14933812586122
09_71_170,1472,2.6494565217391304,3.260869565217391,23.505434782608695,11.956521739130435,0.0,2.1739130434782608,5.706521739130435,1400.0,1.0714285714285714,10.571428571428571,20.07142857142857,0.0,9.357142857142858,7.928571428571428,1366,4.612005856515373,9.736456808199122,19.25329428989751,0.0,6.002928257686676,6.44216691068814,1233,2.83860502838605,3.1630170316301705,18.410381184103812,0.0,3.40632603406326,7.0559610705596105,09,-44.081807266306484
09_71_171,1909,3.92875851231011,4.924044002095338,23.101100052383448,10.6862231534835,0.0,3.404924044002095,8.381351492928236,1793.0,3.067484662576687,10.540992749581706,18.68377021751255,0.0,8.588957055214724,10.15058561070831,1811,8.172280508006628,11.319712865819989,15.626725565985645,0.0,8.503589177250138,7.1783545002760905,1573,4.005085823267642,4.132231404958678,19.89828353464717,0.0,5.212968849332485,9.4723458359822,09,-50.13235239672634
09_71_172,2132,2.6266416510318953,3.9868667917448404,25.93808630393996,7.5046904315197,0.0,3.8930581613508446,7.598499061913697,2004.0,1.746506986027944,13.922155688622754,12.724550898203594,0.0,9.930139720558882,9.580838323353294,1866,5.466237942122187,14.040728831725616,12.27224008574491,0.0,9.32475884244373,7.288317256162916,1577,3.868103994927077,3.4242232086239692,17.43817374762207,0.0,5.643627140139505,6.214331008243501,09,-65.64562573406737
09_71_173,1002,3.3932135728542914,4.8902195608782435,29.740518962075846,9.68063872255489,0.0,3.1936127744510974,4.8902195608782435,947.0,2.0063357972544877,15.522703273495248,20.06335797254488,0.0,9.609292502639915,5.913410770855332,940,3.6170212765957444,19.148936170212767,18.617021276595743,0.0,8.72340425531915,4.680851063829787,766,4.43864229765013,2.3498694516971277,21.801566579634464,0.0,3.91644908616188,3.91644908616188,09,-9.930785591259465
09_71_174,6999,2.9289898556936707,4.200600085726532,25.20360051435919,9.558508358336905,0.0,3.386198028289756,7.472496070867267,6607.0,1.9524746481004995,11.896473437263507,16.664144089601937,0.0,9.71696685333737,8.672619948539428,6465,5.908739365815932,13.735498839907192,14.508894044856921,0.0,8.136117556071152,6.759474091260634,5758,3.542896839180271,4.237582493921501,19.06912122264675,0.0,4.897533865925668,6.912122264675234,09,-202.02872750272803
