Wahlkreis,swing_BSW,swing_AfD,swing_FDP,swing_Die Linke,swing_SPD,swing_CDU,swing_GRÜNE,swing_CSU,swing_FREIE WÄHLER
104,-0.4998068365281772,4.243234921501357,-2.220191316025031,4.888430103243643,2.6521555948097744,-0.9183164837412051,-0.8014612321480242,0.0,-0.24813421652914305
105,-0.3267989694006301,3.173035913721056,-2.850983403285859,8.211274694008814,3.013551969087036,1.1385889543953738,-1.8144006354084825,0.0,-0.23986713411666882
106,-0.3267989694006301,3.1730359137210566,-2.850983403285859,8.211274694008814,3.013551969087036,1.1385889543953738,-1.8144006354084823,0.0,-0.2398671341166688
107,-0.23033596313393156,4.434930492049363,-1.8175714985945435,5.476686958137397,2.4262721160957934,-1.5171008016161063,-0.7936412316355577,0.0,-0.2079339001910484
108,-0.1457218331070073,4.068856079739318,-2.0233068480069054,6.863967740253078,2.924752677851547,-1.3105270777738376,-1.3870425313423134,0.0,-0.1398814620077395
109,-0.2730188724890761,3.7298252640968905,-2.7620985819318036,5.72955979821094,3.083310001854915,-0.018837837688096763,-0.8314539639715507,0.0,-0.21177649198970938
110,-0.3066919169805835,4.784893494783754,-1.95909910324331,4.800302230276516,2.754275177024456,-2.2949010440709587,-0.8165068756778946,0.0,-0.2852052639800661
111,-0.159404660857185,4.515762599406497,-1.7978983724596012,4.870163419377601,2.670578853205094,-2.446245511370417,-0.6648143442682688,0.0,-0.22958600064183352
112,-0.39356127312618955,4.810572503242334,-1.8039516286809882,4.872389282419462,2.508867349182006,-2.3755537859657267,-0.7772045325165523,0.0,-0.2461042589439218
113,-0.3148667901474001,4.214443286398955,-2.0351991270068974,6.559938023740842,2.540172888427609,-0.9940743233039873,-1.0232207864969325,0.0,-0.16641118930660243
114,-0.3026285007592157,4.094795359199548,-1.3765459238975803,7.328540892226995,3.0917592808798062,-1.417941694814779,-1.7009714093087656,0.0,-0.017241975382467
115,-0.3026285007592157,4.094795359199548,-1.3765459238975806,7.328540892226995,3.0917592808798062,-1.417941694814779,-1.7009714093087656,0.0,-0.017241975382467
116,-0.2366850357340141,4.751064511800764,-1.3772075413707419,5.937638975286769,2.304943797085614,-2.1335694061072012,-1.1031208144139095,0.0,-0.1268709851178054
117,-0.314182711124937,3.2205629656592984,-2.291761853352251,6.477649400355476,2.8616600392715803,0.658555746100542,-1.2242788441841563,0.0,-0.04315749389568637
118,-0.190371451885901,3.708137638431353,-1.5845949363238605,7.587622968758882,2.6838326810354123,-0.3300799337316533,-1.6642846560375908,0.0,-0.0986142405380259
119,-0.190371451885901,3.708137638431353,-1.5845949363238605,7.5876229687588825,2.683832681035412,-0.3300799337316533,-1.6642846560375908,0.0,-0.0986142405380259
120,-0.3323282529567234,4.545326638615235,-1.5211673563770352,5.3563234854480735,2.4745305358290235,-1.549288919606203,-0.861498053033704,0.0,-0.21595163571578666
121,-0.3048689095882571,4.3644003628318115,-1.9222447519714878,5.2222572364891375,2.648151928053115,-1.4863297028879263,-0.7776487536934809,0.0,-0.1752292647461296
122,-0.190371451885901,3.708137638431353,-1.5845949363238605,7.587622968758882,2.683832681035412,-0.3300799337316533,-1.6642846560375908,0.0,-0.0986142405380259
123,-0.36171189942435766,4.323455586318482,-1.8823271544010887,4.766850017449957,2.6460226041840884,-2.864527033376095,-0.25468253377618827,0.0,-0.2886133560178506
124,-0.29497746119956425,3.9163319446418203,-1.5989681828842341,6.158072600228425,2.974995164904044,-1.3009564783249825,-1.1034061379754294,0.0,-0.03841806131849099
125,-0.017171044302897932,4.461828186273599,-1.754745836172555,4.628399244685233,2.6450445476243187,-2.7959671532799937,-0.4779155096183965,0.0,-0.24244936152087349
126,-0.34770757820301645,4.331724898045457,-1.9196328968907868,4.640461975447545,2.5483576126541614,-1.6503499910895274,-0.49181355932698867,0.0,-0.21949617825407775
127,-0.23868157429321263,4.728069939809701,-1.7539702048027743,4.501089406176601,2.235347248349389,-2.197041707518626,-0.6429826658258939,0.0,-0.29586705597199064
128,-0.2716127688212961,2.8764581046437137,-2.037252450806366,9.960384683336708,3.698775218128711,0.7999314067979313,-2.182324078295675,0.0,-0.1807987847206734
129,-0.3586430541222514,4.882889765136845,-1.7816092356393938,4.924814869755668,2.4921865726248043,-2.4050843199680036,-0.723948415654807,0.0,-0.21032982745795953
130,-0.13208040378970407,4.516000102576828,-1.7409775062228825,4.6840692935059876,2.7135473665090215,-2.315304839683013,-0.7538860819327533,0.0,-0.24034082477123478
131,-0.3296659369145213,3.216029446333813,-2.8100691082113256,8.076994995453672,3.017825568573182,0.9961476788176413,-1.7653674803890438,0.0,-0.2419064990993069
132,-0.3084268985262697,4.485933723770879,-1.9489345683411268,4.893049780757955,2.4200759505713023,-1.7048877720750766,-0.6435884766241196,0.0,-0.2188127784018773
